LOCATION,TIME,BEEF,PIG,POULTRY,SHEEP,BEEF_co2,PIG_co2,POULTRY_co2,SHEEP_co2,total_meat_kt,total_co2_Mt
TUR,2013,837.0401390625,0.0001900000013643,1428.17502675781,351.261116845703,83.26875303393751,2.338900016794533e-06,14.096087514099583,13.952091561111322,2616.476472666014,111.31693444804843
TUR,2014,853.18808828125,0.0001900000013643,1531.97409902344,379.245095117188,84.87515102221874,2.338900016794533e-06,15.120584357361352,15.063615178054706,2764.4074724218794,115.05935289653482
TUR,2015,1020.77408681641,0.0001900000013643,1619.41721425781,405.062081201172,101.54660615649647,2.338900016794533e-06,15.983647904724583,16.089065865310552,3045.2535722753933,133.6193222654316
TUR,2016,1054.60520253906,0.0001900000013643,1601.65305410156,406.951088769531,104.91212554858569,2.338900016794533e-06,15.808315643982397,16.16409724592577,3063.2095354101525,136.88454077739388
TUR,2017,979.840065820313,0.0001900000013643,1782.57810292969,401.485085351563,97.47448974780475,2.338900016794533e-06,17.594045875916038,15.946987590164081,3163.9034441015674,131.01552555278488
TUR,2018,997.56406484375,0.0001900000013643,1793.34397207031,400.985085351563,99.23767317065627,2.338900016794533e-06,17.70030500433396,15.927127590164082,3191.8933122656244,132.86510810405431
TUR,2019,1016.15946931427,0.0001891202727134,1824.35406773521,411.474461504778,101.0875440073836,2.328070557101954e-06,18.00637464854652,16.343765610969783,3251.9881876745308,135.43768659497044
TUR,2020,1047.94630416192,0.0001896090320053,1870.9494778512,411.120751694327,104.2496983380278,2.3340871839852433e-06,18.46627134639134,16.329716257298667,3330.016723316479,139.045688275805
TUR,2021,1074.05435162907,0.0001889882206817,1909.37411743581,410.897034860506,106.84692690005988,2.326444996591727e-06,18.84552253909144,16.320830224659296,3394.325692913607,142.01328199025562
TUR,2022,1096.75820985576,0.000188434124989,1942.60990384264,411.89884140012,109.10550671645102,2.31962407861459e-06,19.173559750926856,16.360621980412766,3451.267143532645,144.63969076741472
TUR,2023,1118.29628851447,0.0001881134235048,1976.6056629419,413.299787100701,111.24811478141949,2.315676243344088e-06,19.50909789323655,16.416267543639844,3508.2019266704947,147.1734825339721
TUR,2024,1138.81848058848,0.0001878507447829,2011.41333489172,414.453761923467,113.289662448942,2.312442668277499e-06,19.852649615381278,16.462103423600112,3564.685765254412,149.60441780036604
TUR,2025,1158.5336567925,0.0001876184545791,2046.44271010982,415.251671630176,115.25092817771791,2.309583175868721e-06,20.198389548783922,16.493796397150593,3620.228226150951,151.9431164332356
TUR,2026,1179.73978753335,0.0001875400860373,2083.53574623276,416.015989956829,117.36051406381766,2.308618459119163e-06,20.564497815317342,16.52415512108525,3679.291711263025,154.44916930883872
TUR,2027,1200.49526105138,0.0001873945817004,2120.46484892153,416.530099312688,119.42526856939129,2.306827300731924e-06,20.9289880588555,16.544575544699963,3737.49039668018,156.89883447977405
TUR,2028,1222.39840872994,0.0001872612823188,2159.37165907603,417.021720474059,121.60419370045443,2.305186385344428e-06,21.312998275080417,16.564102737229625,3798.791975541311,159.48129701795085
UKR,1990,1985.40012441406,1576.30014882813,708.400124414063,45.8000992370605,197.5076043767107,19.404254832074283,6.9919092279668025,1.819179941696043,4315.900496893313,225.72294837844782
UKR,1991,1877.60007558594,1421.10007558594,654.400124414063,39.7001007629395,186.7836555192893,17.49374193046292,6.458929227966801,1.5768880023039569,3992.8003763488828,212.31321468002298
UKR,1992,1521.64511953125,1167.85202871094,499.200112207031,35.0001,151.37325649096874,14.376258473431673,4.927105107483396,1.3902039720000001,3223.697360449221,172.0668240438838
UKR,1993,1286.14011464844,1008.41306386719,363.725106103516,30.0001,127.94521860522681,12.41356481620511,3.589966797241703,1.191603972,2688.278384619146,145.14035419067363
UKR,1994,1158.69614492188,860.378090722656,264.836098535156,42.6361015869141,115.26709249682862,10.591254296795896,2.61393229254199,1.693505955032228,2326.546435766606,130.16578504119875
UKR,1995,981.644081933594,805.202126367188,235.092110498047,38.185101373291,97.65395327075393,9.912038175580085,2.320359130615724,1.5167122265471185,2060.1234201721204,111.40306280349685
UKR,1996,796.546120507813,787.519081933594,308.762093408203,31.2351006103516,79.24040806811725,9.694359898602542,3.0474818619389636,1.2406581962431655,1924.0623964599615,93.22290802490191
UKR,1997,782.870095117188,700.685097558594,241.619088037109,23.7240990234375,77.87991706225787,8.625433550946292,2.384780398926266,0.9423212132109374,1748.8983797363287,89.83245222534137
UKR,1998,681.260048730469,676.503151757813,251.170098168945,20.5781010223389,67.77174964770705,8.32775379813868,2.479048868927487,0.8173621726073012,1629.511399679566,79.39591448738052
UKR,1999,648.5420921875,638.704079492188,291.719094140625,18.8751,64.5169673308125,7.8624472185488345,2.8792674591679686,0.749718972,1597.8403658203129,76.0084009805293
UKR,2000,629.450112207031,688.678139550781,244.944100244141,16.814101083374,62.61769716235545,8.477627897870114,2.4175982694096714,0.6678560950316151,1579.886453085327,74.18077942466684
UKR,2001,531.558083398438,592.846108300781,333.274086816406,15.2200993133545,52.87939813647662,7.297935593182614,3.289415236877927,0.6045423447264408,1472.8983778289796,64.07129131126361
UKR,2002,583.467079980469,602.430031640625,394.9170921875,16.4301022125244,58.043305116457056,7.415913689496094,3.8978316998906246,0.6526036598814692,1597.2443060211183,70.00965416572525
UKR,2003,577.396157128906,661.6641625,444.664101464844,16.4000996185303,57.43936971118357,8.145085840375,4.38883468145801,0.6514119568480236,1700.1245207122802,70.6247021898646
UKR,2004,539.89609609375,599.267067773438,687.141091210938,16.4751003814697,53.70886363940625,7.376977604291023,6.782082570251958,0.6543909871519765,1842.7793554595958,68.5223148011012
UKR,2005,552.603066308594,543.800087792969,667.269081933594,16.2151001525879,54.97295303637893,6.694179080731448,6.585945838684572,0.6440637780607914,1779.8873361877447,68.89714173385575
UKR,2006,588.650124414063,585.207070214844,772.543129785156,14.6001003814697,58.558914376710995,7.20389903434473,7.62500069097949,0.5799159871519765,1961.0004247955328,73.9677300891872
UKR,2007,530.02304921875,710.235085351563,855.393105371094,15.3001001907349,52.72669293628125,8.742993900677742,8.442729950012698,0.6077199795759902,2110.951340132142,70.5201367665477
UKR,2008,500.458138330078,799.512123925781,1072.68100820313,17.1161011291504,49.78557560107616,9.841994245526365,10.587361550964891,0.6798515368498539,2389.767371588139,70.89478293441726
UKR,2009,446.565102441406,687.601113183594,1094.24607167969,17.8010986877441,44.42429639087108,8.464369703290043,10.80020872747854,0.7070596398771957,2246.213385992434,64.39593446151686
UKR,2010,419.599099023438,765.731118066406,1103.63315664063,21.1031006408691,41.74171837085161,9.426150063397458,10.892859256043018,0.8382151574553207,2310.066474371343,62.898942847747406
UKR,2011,392.786110742188,802.702126367188,1037.33713613281,19.6041000915527,39.07436229663286,9.881263175580084,10.238517533630834,0.7786748556364731,2252.4294733337388,59.97281786148025
UKR,2012,375.426094873047,934.266030175781,1139.72300039063,19.7181004119873,37.34738791797072,11.500814831463863,11.249066013855519,0.7832029483641355,2469.133225851446,60.88047171165424
UKR,2013,406.478096826172,934.748146875,1124.62204824219,18.7191017700195,40.4364410722676,11.50674968803125,11.100019616150414,0.7435227223051746,2484.567393713381,63.78673309875443
UKR,2014,390.985115869141,771.370095117188,1083.54709707031,14.4100998474121,38.89519932666215,9.495565870892586,10.69460984808396,0.5723691659392086,2260.3124079040513,59.657744211577906
UKR,2015,350.278115136719,736.468056542969,1072.89304433594,13.6950996948242,34.84566689380081,9.065921776043949,10.589454347595728,0.5439693598784172,2173.3343157104523,55.045012377318905
UKR,2016,338.8331078125,748.850075585938,1034.7862328125,13.4030998779297,33.7071175651875,9.218344430462897,10.213340117859374,0.5323711271513677,2135.872516088868,53.67117324066114
UKR,2017,316.845101220703,737.639138085938,1058.42307363281,13.5031002593994,31.51975066943554,9.080337789837898,10.446635736755834,0.5363431423033441,2126.4104131988506,51.58306733833262
UKR,2018,314.5001,705.290078027344,1053.35801015625,13.8031004501343,31.286469947999997,8.682120860516605,10.396643560242186,0.5482591498793343,2086.9512886337284,50.91349351863813
UKR,2019,314.876630441964,704.21284218907,1108.89972226192,14.0589535477256,31.32392719636658,8.668860087347452,10.944840258725149,0.5584216349156609,2142.0481484406796,51.49604917735484
UKR,2020,313.324821060356,719.054008563202,1124.77044418972,14.219737841582,31.169553199084213,8.851554845413016,11.101484284152535,0.5648079870676371,2171.36901165486,51.6874003157174
UKR,2021,315.418591816531,724.009743114446,1141.91948538501,14.3688927975591,31.377841513908507,8.91255993773883,11.270745320750049,0.5707324219190474,2195.7167131135457,52.13187919431644
UKR,2022,317.267356775294,731.546799585021,1158.43383224565,14.476768243933,31.561756652006245,9.00534110289161,11.433741924264563,0.5750172346490188,2221.7247568498974,52.57585691381144
UKR,2023,318.944379667134,739.379125946439,1174.20330553852,14.562097207817,31.728586889286493,9.101757040400663,11.589386625665192,0.5784065010944912,2247.0889083599095,52.99813705644684
